CPU ,CPU rate
0.03577,0.03577
0.03528,0.03528
0.03412,0.03412
0.03442,0.03442
0.03467,0.03467
0.03473,0.03473
0.03326,0.03326
0.03333,0.03333
0.03381,0.03381
0.0332,0.0332
0.03217,0.03217
0.03345,0.03345
0.03265,0.03265
0.03357,0.03357
0.0332,0.0332
0.03149,0.03149
0.0329,0.0329
0.0329,0.0329
0.03253,0.03253
0.03085,0.03085
0.0321,0.0321
0.03122,0.03122
0.03229,0.03229
0.03284,0.03284
0.0318,0.0318
0.03116,0.03116
0.03168,0.03168
0.03101,0.03101
0.03052,0.03052
0.03162,0.03162
0.03122,0.03122
0.02997,0.02997
0.03082,0.03082
0.03192,0.03192
0.03125,0.03125
0.03091,0.03091
0.03156,0.03156
0.02979,0.02979
0.03162,0.03162
0.03168,0.03168
0.03021,0.03021
0.03073,0.03073
0.03143,0.03143
0.03131,0.03131
0.02975,0.02975
0.03064,0.03064
0.03043,0.03043
0.03076,0.03076
0.0307,0.0307
0.0318,0.0318
0.03046,0.03046
0.03149,0.03149
0.03079,0.03079
0.02979,0.02979
0.03064,0.03064
0.03073,0.03073
0.03046,0.03046
0.02945,0.02945
0.03,0.03
0.03064,0.03064
0.03,0.03
0.03076,0.03076
0.03036,0.03036
0.03101,0.03101
0.03137,0.03137
0.03217,0.03217
0.03412,0.03412
0.03821,0.03821
0.03796,0.03796
0.03131,0.03131
0.0311,0.0311
0.03168,0.03168
0.03119,0.03119
0.03,0.03
0.03162,0.03162
0.02991,0.02991
0.03174,0.03174
0.03235,0.03235
0.03052,0.03052
0.02975,0.02975
0.03067,0.03067
0.03052,0.03052
0.03015,0.03015
0.03314,0.03314
0.03375,0.03375
0.03339,0.03339
0.03278,0.03278
0.03314,0.03314
0.03198,0.03198
0.03241,0.03241
0.03223,0.03223
0.03015,0.03015
0.03302,0.03302
0.0321,0.0321
0.03278,0.03278
0.03357,0.03357
0.0329,0.0329
0.03168,0.03168
0.03061,0.03061
0.03091,0.03091
0.03082,0.03082
0.03061,0.03061
0.03186,0.03186
0.03119,0.03119
0.03241,0.03241
0.03418,0.03418
0.03363,0.03363
0.03308,0.03308
0.03333,0.03333
0.03522,0.03522
0.03577,0.03577
0.03442,0.03442
0.0354,0.0354
0.03448,0.03448
0.03461,0.03461
0.03491,0.03491
0.03479,0.03479
0.03387,0.03387
0.03595,0.03595
0.03577,0.03577
0.03558,0.03558
0.03528,0.03528
0.03607,0.03607
0.03613,0.03613
0.03503,0.03503
0.03601,0.03601
0.0351,0.0351
0.0365,0.0365
0.03687,0.03687
0.03552,0.03552
0.03607,0.03607
0.03827,0.03827
0.03705,0.03705
0.03613,0.03613
0.03699,0.03699
0.03766,0.03766
0.03784,0.03784
0.03784,0.03784
0.03815,0.03815
0.03711,0.03711
0.03821,0.03821
0.03766,0.03766
0.03741,0.03741
0.03992,0.03992
0.03949,0.03949
0.03876,0.03876
0.03857,0.03857
0.03845,0.03845
0.03912,0.03912
0.03815,0.03815
0.04004,0.04004
0.03845,0.03845
0.03815,0.03815
0.04047,0.04047
0.04077,0.04077
0.04028,0.04028
0.04059,0.04059
0.04102,0.04102
0.04156,0.04156
0.04053,0.04053
0.04218,0.04218
0.04126,0.04126
0.04102,0.04102
0.04181,0.04181
0.04047,0.04047
0.04132,0.04132
0.04248,0.04248
0.0423,0.0423
0.04071,0.04071
0.03955,0.03955
0.03949,0.03949
0.04028,0.04028
0.04004,0.04004
0.04047,0.04047
0.04004,0.04004
0.03931,0.03931
0.04077,0.04077
0.03967,0.03967
0.04041,0.04041
0.03986,0.03986
0.04034,0.04034
0.04059,0.04059
0.04047,0.04047
0.0415,0.0415
0.04144,0.04144
0.0401,0.0401
0.03979,0.03979
0.0401,0.0401
0.04028,0.04028
0.04175,0.04175
0.03961,0.03961
0.0415,0.0415
0.0415,0.0415
0.04297,0.04297
0.0434,0.0434
0.04382,0.04382
0.04443,0.04443
0.04468,0.04468
0.04333,0.04333
0.04321,0.04321
0.04004,0.04004
0.04089,0.04089
0.04022,0.04022
0.04034,0.04034
0.04211,0.04211
0.04279,0.04279
0.04071,0.04071
0.03961,0.03961
0.03943,0.03943
0.03992,0.03992
0.03986,0.03986
0.03979,0.03979
0.0401,0.0401
0.03864,0.03864
0.04083,0.04083
0.04047,0.04047
0.04077,0.04077
0.03986,0.03986
0.04004,0.04004
0.03998,0.03998
0.03925,0.03925
0.03979,0.03979
0.03986,0.03986
0.03961,0.03961
0.0387,0.0387
0.03894,0.03894
0.03882,0.03882
0.03973,0.03973
0.03827,0.03827
0.03925,0.03925
0.0387,0.0387
0.03876,0.03876
0.03821,0.03821
0.04004,0.04004
0.04004,0.04004
0.03894,0.03894
0.03839,0.03839
0.03802,0.03802
0.03796,0.03796
0.03741,0.03741
0.0387,0.0387
0.03754,0.03754
0.0401,0.0401
0.03802,0.03802
0.03864,0.03864
0.03503,0.03503
0.04034,0.04034
0.03711,0.03711
0.03699,0.03699
0.03674,0.03674
0.03711,0.03711
0.03613,0.03613
0.03748,0.03748
0.03705,0.03705
0.03625,0.03625
0.03723,0.03723
0.03668,0.03668
0.03815,0.03815
0.03839,0.03839
0.03815,0.03815
0.03864,0.03864
0.03741,0.03741
0.03729,0.03729
0.03644,0.03644
0.03497,0.03497
0.03735,0.03735
0.03827,0.03827
0.03784,0.03784
0.03619,0.03619
0.03687,0.03687
0.0376,0.0376
0.03656,0.03656
0.03656,0.03656
0.03644,0.03644
0.03595,0.03595
0.03656,0.03656
0.03632,0.03632
0.03625,0.03625
0.03815,0.03815
0.03687,0.03687
0.03717,0.03717
0.03595,0.03595
0.03845,0.03845
0.03632,0.03632
0.03619,0.03619
0.03656,0.03656
0.03619,0.03619
0.03546,0.03546
0.03528,0.03528
0.03406,0.03406
0.03546,0.03546
0.03442,0.03442
0.03448,0.03448
0.03607,0.03607
0.03601,0.03601
0.03619,0.03619
0.03491,0.03491
0.03467,0.03467
0.03528,0.03528
0.03516,0.03516
0.03491,0.03491
0.03467,0.03467
0.03375,0.03375
0.03595,0.03595
0.03491,0.03491
0.03235,0.03235
0.03223,0.03223
0.03271,0.03271
0.03235,0.03235
0.0329,0.0329
0.03217,0.03217
0.03217,0.03217
0.03174,0.03174
0.0332,0.0332
0.03217,0.03217
0.03229,0.03229
0.03278,0.03278
0.03271,0.03271
0.03174,0.03174
0.0318,0.0318
0.03217,0.03217
0.03217,0.03217
0.03229,0.03229
0.03186,0.03186
0.03162,0.03162
0.03241,0.03241
0.03241,0.03241
0.03125,0.03125
0.03247,0.03247
0.03253,0.03253
0.03143,0.03143
0.03198,0.03198
0.03314,0.03314
0.03091,0.03091
0.03073,0.03073
0.03143,0.03143
0.03107,0.03107
0.03091,0.03091
0.03192,0.03192
0.03009,0.03009
0.03107,0.03107
0.0332,0.0332
0.03369,0.03369
0.0329,0.0329
0.03162,0.03162
0.03186,0.03186
0.03125,0.03125
0.0321,0.0321
0.03131,0.03131
0.03156,0.03156
0.03198,0.03198
0.03326,0.03326
0.03217,0.03217
0.03345,0.03345
0.03424,0.03424
0.03418,0.03418
0.03326,0.03326
0.03387,0.03387
0.03442,0.03442
0.03394,0.03394
0.03394,0.03394
0.03247,0.03247
0.03235,0.03235
0.03357,0.03357
0.03284,0.03284
0.03253,0.03253
0.03357,0.03357
0.03461,0.03461
0.03333,0.03333
0.03357,0.03357
0.03412,0.03412
0.03406,0.03406
0.03381,0.03381
0.03387,0.03387
0.03333,0.03333
0.03363,0.03363
0.0351,0.0351
0.03418,0.03418
0.03387,0.03387
0.03491,0.03491
0.03528,0.03528
0.03406,0.03406
0.03412,0.03412
0.03522,0.03522
0.03424,0.03424
0.03577,0.03577
0.03424,0.03424
0.0354,0.0354
0.03613,0.03613
0.03693,0.03693
0.03546,0.03546
0.03571,0.03571
0.03656,0.03656
0.03674,0.03674
0.03577,0.03577
0.03735,0.03735
0.03644,0.03644
0.03699,0.03699
0.03687,0.03687
0.03625,0.03625
0.03632,0.03632
0.03668,0.03668
0.03699,0.03699
0.0368,0.0368
0.03729,0.03729
0.0379,0.0379
0.0379,0.0379
0.03864,0.03864
0.03851,0.03851
0.03711,0.03711
0.03839,0.03839
0.0368,0.0368
0.03674,0.03674
0.03668,0.03668
0.03802,0.03802
0.03748,0.03748
0.03802,0.03802
0.03894,0.03894
0.0387,0.0387
0.03918,0.03918
0.03821,0.03821
0.03809,0.03809
0.03815,0.03815
0.03906,0.03906
0.03888,0.03888
0.0379,0.0379
0.03772,0.03772
0.03949,0.03949
0.0387,0.0387
0.039,0.039
0.03992,0.03992
0.04004,0.04004
0.03912,0.03912
0.03949,0.03949
0.03992,0.03992
0.03986,0.03986
0.0401,0.0401
0.04034,0.04034
0.04059,0.04059
0.04004,0.04004
0.04199,0.04199
0.04077,0.04077
0.04175,0.04175
0.04199,0.04199
0.04224,0.04224
0.04083,0.04083
0.04156,0.04156
0.04095,0.04095
0.04089,0.04089
0.0423,0.0423
0.04059,0.04059
0.04089,0.04089
0.04169,0.04169
0.04144,0.04144
0.04181,0.04181
0.04175,0.04175
0.04138,0.04138
0.04089,0.04089
0.04095,0.04095
0.04144,0.04144
0.04089,0.04089
0.04211,0.04211
0.04218,0.04218
0.04059,0.04059
0.04144,0.04144
0.04095,0.04095
0.04077,0.04077
0.04169,0.04169
0.04205,0.04205
0.0412,0.0412
0.04108,0.04108
0.04004,0.04004
0.04028,0.04028
0.03961,0.03961
0.0401,0.0401
0.04108,0.04108
0.03967,0.03967
0.04102,0.04102
0.04034,0.04034
0.04016,0.04016
0.03967,0.03967
0.0401,0.0401
0.03986,0.03986
0.03979,0.03979
0.03809,0.03809
0.03894,0.03894
0.03833,0.03833
0.03998,0.03998
0.03918,0.03918
0.03815,0.03815
0.039,0.039
0.03845,0.03845
0.03754,0.03754
0.03705,0.03705
0.03833,0.03833
0.03931,0.03931
0.03961,0.03961
0.03998,0.03998
0.03925,0.03925
0.03992,0.03992
0.04016,0.04016
0.0376,0.0376
0.03894,0.03894
0.03882,0.03882
0.03979,0.03979
0.04083,0.04083
0.0412,0.0412
0.04004,0.04004
0.03961,0.03961
0.03973,0.03973
0.04034,0.04034
0.03931,0.03931
0.04083,0.04083
0.03992,0.03992
0.03845,0.03845
0.03937,0.03937
0.03961,0.03961
0.03967,0.03967
0.04016,0.04016
0.03967,0.03967
0.03992,0.03992
0.0379,0.0379
0.0376,0.0376
0.03735,0.03735
0.03668,0.03668
0.03754,0.03754
0.03589,0.03589
0.03546,0.03546
0.03632,0.03632
0.03632,0.03632
0.03625,0.03625
0.03711,0.03711
0.03809,0.03809
0.03656,0.03656
0.03479,0.03479
0.03656,0.03656
0.03528,0.03528
0.0351,0.0351
0.03577,0.03577
0.03357,0.03357
0.034,0.034
0.03461,0.03461
0.03735,0.03735
0.03717,0.03717
0.0368,0.0368
0.03723,0.03723
0.03711,0.03711
0.03766,0.03766
0.03613,0.03613
0.03741,0.03741
0.0379,0.0379
0.03558,0.03558
0.03436,0.03436
0.03601,0.03601
0.03595,0.03595
0.03595,0.03595
0.03516,0.03516
0.03534,0.03534
0.03516,0.03516
0.03497,0.03497
0.03619,0.03619
0.03479,0.03479
0.03461,0.03461
0.03625,0.03625
0.03424,0.03424
0.03442,0.03442
0.03583,0.03583
0.03619,0.03619
0.03741,0.03741
0.03717,0.03717
0.03687,0.03687
0.03589,0.03589
0.03619,0.03619
0.03723,0.03723
0.03558,0.03558
0.03662,0.03662
0.03552,0.03552
0.03461,0.03461
0.03638,0.03638
0.03595,0.03595
0.03668,0.03668
0.03601,0.03601
0.03656,0.03656
0.03528,0.03528
0.03534,0.03534
0.03534,0.03534
0.03479,0.03479
0.03516,0.03516
0.03601,0.03601
0.03381,0.03381
0.03448,0.03448
0.034,0.034
0.03534,0.03534
0.03528,0.03528
0.03473,0.03473
0.03558,0.03558
0.0351,0.0351
0.03461,0.03461
0.034,0.034
0.03345,0.03345
0.03375,0.03375
0.03131,0.03131
0.03122,0.03122
0.03192,0.03192
0.03253,0.03253
0.03296,0.03296
0.03235,0.03235
0.03186,0.03186
0.03116,0.03116
0.03131,0.03131
0.03116,0.03116
0.02975,0.02975
0.03229,0.03229
0.03143,0.03143
0.0296,0.0296
0.03018,0.03018
0.03104,0.03104
0.03223,0.03223
0.03098,0.03098
0.03131,0.03131
0.03085,0.03085
0.03107,0.03107
0.03079,0.03079
0.03033,0.03033
0.03043,0.03043
0.0321,0.0321
0.02994,0.02994
0.03119,0.03119
0.03085,0.03085
0.03265,0.03265
0.03223,0.03223
0.03174,0.03174
0.03241,0.03241
0.03156,0.03156
0.03284,0.03284
0.03149,0.03149
0.02991,0.02991
0.03253,0.03253
0.03186,0.03186
0.03043,0.03043
0.03247,0.03247
0.03137,0.03137
0.03241,0.03241
0.03085,0.03085
0.03186,0.03186
0.03131,0.03131
0.03143,0.03143
0.03217,0.03217
0.03162,0.03162
0.03186,0.03186
0.03271,0.03271
0.03174,0.03174
0.0321,0.0321
0.03284,0.03284
0.034,0.034
0.03455,0.03455
0.0343,0.0343
0.03339,0.03339
0.03412,0.03412
0.03467,0.03467
0.03333,0.03333
0.03357,0.03357
0.03412,0.03412
0.0321,0.0321
0.03223,0.03223
0.03412,0.03412
0.0354,0.0354
0.03583,0.03583
0.03491,0.03491
0.03461,0.03461
0.03326,0.03326
0.03406,0.03406
0.03442,0.03442
0.03271,0.03271
0.03558,0.03558
0.03491,0.03491
0.03479,0.03479
0.03473,0.03473
0.03436,0.03436
0.03699,0.03699
0.03491,0.03491
0.03522,0.03522
0.03613,0.03613
0.03613,0.03613
0.03619,0.03619
0.03546,0.03546
0.03491,0.03491
0.03619,0.03619
0.03607,0.03607
0.03802,0.03802
0.04028,0.04028
0.03998,0.03998
0.04095,0.04095
0.04144,0.04144
0.04053,0.04053
0.03864,0.03864
0.03961,0.03961
0.03931,0.03931
0.03821,0.03821
0.03986,0.03986
0.03802,0.03802
0.03802,0.03802
0.03888,0.03888
0.03833,0.03833
0.03949,0.03949
0.03772,0.03772
0.03839,0.03839
0.04004,0.04004
0.03943,0.03943
0.03864,0.03864
0.03748,0.03748
0.03894,0.03894
0.04004,0.04004
0.03833,0.03833
0.03918,0.03918
0.03864,0.03864
0.04028,0.04028
0.04053,0.04053
0.04028,0.04028
0.04193,0.04193
0.0401,0.0401
0.0415,0.0415
0.04218,0.04218
0.04028,0.04028
0.04266,0.04266
0.04083,0.04083
0.04022,0.04022
0.04156,0.04156
0.04144,0.04144
0.04266,0.04266
0.04138,0.04138
0.04138,0.04138
0.04138,0.04138
0.04053,0.04053
0.04346,0.04346
0.04175,0.04175
0.04089,0.04089
0.04211,0.04211
0.04102,0.04102
0.04272,0.04272
0.04346,0.04346
0.04492,0.04492
0.0448,0.0448
0.04413,0.04413
0.04346,0.04346
0.04376,0.04376
0.04279,0.04279
0.04211,0.04211
0.0412,0.0412
0.04425,0.04425
0.04395,0.04395
0.04224,0.04224
0.04291,0.04291
0.04303,0.04303
0.04547,0.04547
0.04272,0.04272
0.04156,0.04156
0.04297,0.04297
0.04297,0.04297
0.04248,0.04248
0.04089,0.04089
0.04224,0.04224
0.04242,0.04242
0.04108,0.04108
0.04187,0.04187
0.04144,0.04144
0.04297,0.04297
0.04218,0.04218
0.04224,0.04224
0.04218,0.04218
0.0426,0.0426
0.04248,0.04248
0.04163,0.04163
0.04132,0.04132
0.04395,0.04395
0.04218,0.04218
0.04144,0.04144
0.04138,0.04138
0.04181,0.04181
0.04346,0.04346
0.04169,0.04169
0.04156,0.04156
0.04254,0.04254
0.04193,0.04193
0.04279,0.04279
0.04193,0.04193
0.04333,0.04333
0.04382,0.04382
0.0426,0.0426
0.04279,0.04279
0.04358,0.04358
0.04565,0.04565
0.04437,0.04437
0.04419,0.04419
0.04236,0.04236
0.04211,0.04211
0.04315,0.04315
0.04114,0.04114
0.03973,0.03973
0.0412,0.0412
0.03864,0.03864
0.03943,0.03943
0.03925,0.03925
0.03894,0.03894
0.0401,0.0401
0.0387,0.0387
0.03882,0.03882
0.039,0.039
0.03857,0.03857
0.04016,0.04016
0.03772,0.03772
0.03998,0.03998
0.03943,0.03943
0.03894,0.03894
0.039,0.039
0.03857,0.03857
0.04181,0.04181
0.04047,0.04047
0.04004,0.04004
0.03961,0.03961
0.03845,0.03845
0.03961,0.03961
0.03802,0.03802
0.03784,0.03784
0.03943,0.03943
0.0379,0.0379
0.03827,0.03827
0.0379,0.0379
0.0387,0.0387
0.03864,0.03864
0.03754,0.03754
0.03693,0.03693
0.0376,0.0376
0.03687,0.03687
0.03699,0.03699
0.03558,0.03558
0.03662,0.03662
0.03595,0.03595
0.03473,0.03473
0.03455,0.03455
0.03442,0.03442
0.03436,0.03436
0.03448,0.03448
0.0354,0.0354
0.03571,0.03571
0.03571,0.03571
0.03577,0.03577
0.03693,0.03693
0.03735,0.03735
0.03754,0.03754
0.03766,0.03766
0.0376,0.0376
0.03705,0.03705
0.0354,0.0354
0.03632,0.03632
0.03723,0.03723
0.0376,0.0376
0.03662,0.03662
0.03564,0.03564
0.03583,0.03583
0.03766,0.03766
0.03613,0.03613
0.0365,0.0365
0.03601,0.03601
0.03741,0.03741
0.03638,0.03638
0.03656,0.03656
0.03638,0.03638
0.03717,0.03717
0.03888,0.03888
0.03809,0.03809
0.03674,0.03674
0.0379,0.0379
0.03693,0.03693
0.03827,0.03827
0.0368,0.0368
0.03668,0.03668
0.03784,0.03784
0.03809,0.03809
0.03558,0.03558
0.03638,0.03638
0.03717,0.03717
0.03668,0.03668
0.03436,0.03436
0.0351,0.0351
0.03448,0.03448
0.03522,0.03522
0.03497,0.03497
0.03442,0.03442
0.03479,0.03479
0.03339,0.03339
0.03351,0.03351
0.03436,0.03436
0.03442,0.03442
0.03412,0.03412
0.03302,0.03302
0.03125,0.03125
0.03278,0.03278
0.03107,0.03107
0.03339,0.03339
0.03253,0.03253
0.03357,0.03357
0.03363,0.03363
0.03284,0.03284
0.0329,0.0329
0.03326,0.03326
0.034,0.034
0.03131,0.03131
0.03122,0.03122
0.03217,0.03217
0.03223,0.03223
0.03387,0.03387
0.03339,0.03339
0.03326,0.03326
0.03235,0.03235
0.03131,0.03131
0.03156,0.03156
0.03296,0.03296
0.03369,0.03369
0.03265,0.03265
0.03229,0.03229
0.03259,0.03259
0.03284,0.03284
0.03259,0.03259
0.03516,0.03516
0.03265,0.03265
0.03418,0.03418
0.03363,0.03363
0.03448,0.03448
0.03198,0.03198
0.03143,0.03143
0.03058,0.03058
0.03125,0.03125
0.0307,0.0307
0.03104,0.03104
0.0307,0.0307
0.0329,0.0329
0.03217,0.03217
0.03375,0.03375
0.03156,0.03156
0.03098,0.03098
0.03479,0.03479
0.0351,0.0351
0.03418,0.03418
0.034,0.034
0.034,0.034
0.03375,0.03375
0.03406,0.03406
0.03326,0.03326
0.03424,0.03424
0.03418,0.03418
0.03302,0.03302
0.03265,0.03265
0.03455,0.03455
0.03448,0.03448
0.03406,0.03406
0.03424,0.03424
0.03436,0.03436
0.03345,0.03345
0.03485,0.03485
0.03381,0.03381
0.0332,0.0332
0.03442,0.03442
0.03467,0.03467
0.03436,0.03436
0.03375,0.03375
0.0351,0.0351
0.03436,0.03436
0.034,0.034
0.03436,0.03436
0.03473,0.03473
0.03467,0.03467
0.0351,0.0351
0.03473,0.03473
0.03564,0.03564
0.03564,0.03564
0.03503,0.03503
0.03442,0.03442
0.03467,0.03467
0.03534,0.03534
0.03534,0.03534
0.0368,0.0368
0.03687,0.03687
0.03735,0.03735
0.03735,0.03735
0.03607,0.03607
0.03772,0.03772
0.03723,0.03723
0.03882,0.03882
0.0379,0.0379
0.03815,0.03815
0.039,0.039
0.03888,0.03888
0.03796,0.03796
0.03882,0.03882
0.03979,0.03979
0.03986,0.03986
0.03912,0.03912
0.0401,0.0401
0.03833,0.03833
0.04028,0.04028
0.03955,0.03955
0.03973,0.03973
0.03888,0.03888
0.03973,0.03973
0.03912,0.03912
0.03986,0.03986
0.03998,0.03998
0.04022,0.04022
0.03955,0.03955
0.03906,0.03906
0.04004,0.04004
0.03986,0.03986
0.03931,0.03931
0.03882,0.03882
0.0387,0.0387
0.04065,0.04065
0.03955,0.03955
0.03979,0.03979
0.04095,0.04095
0.0401,0.0401
0.0401,0.0401
0.04077,0.04077
0.04102,0.04102
0.04034,0.04034
0.04102,0.04102
0.04144,0.04144
0.04083,0.04083
0.04071,0.04071
0.03973,0.03973
0.039,0.039
0.0412,0.0412
0.03918,0.03918
0.03925,0.03925
0.03888,0.03888
0.03748,0.03748
0.03741,0.03741
0.03894,0.03894
0.03851,0.03851
0.03687,0.03687
0.0376,0.0376
0.03772,0.03772
0.03723,0.03723
0.03833,0.03833
0.03888,0.03888
0.03894,0.03894
0.03894,0.03894
0.03827,0.03827
0.03876,0.03876
0.03906,0.03906
0.03955,0.03955
0.03772,0.03772
0.03809,0.03809
0.03845,0.03845
0.03851,0.03851
0.03918,0.03918
0.03931,0.03931
0.03876,0.03876
0.03888,0.03888
0.03778,0.03778
0.03766,0.03766
0.03748,0.03748
0.03833,0.03833
0.03717,0.03717
0.03674,0.03674
0.03711,0.03711
0.0379,0.0379
0.0379,0.0379
0.03857,0.03857
0.0379,0.0379
0.03784,0.03784
0.03748,0.03748
0.03723,0.03723
0.03735,0.03735
0.03723,0.03723
0.03857,0.03857
